Secondary Resources total by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
London,E09000005,Brent ,692,710,722,770,787,834,848,910,954,996,1075,1147,1272,1379,1434,1509,1548,1556,1580,1576
London,E09000006,Bromley,1027,1072,1105,1163,1176,1227,1260,1324,1390,1499,1596,1626,1720,1810,1887,2032,2032,2037,2036,2048
London,E09000008,Croydon,978,1015,1039,1093,1111,1163,1189,1258,1322,1417,1516,1594,1713,1818,1889,2024,2052,1991,2070,2091
London,E09000009,Ealing,778,804,828,886,899,949,955,1017,1071,1125,1216,1289,1399,1510,1558,1639,1695,1658,1723,1754
London,E09000010,Enfield,774,805,827,893,951,987,1002,1085,1136,1208,1302,1383,1508,1596,1643,1750,1775,1776,1822,1849
London,E09000011,Greenwich,612,637,651,697,736,768,782,849,884,943,1018,1055,1133,1195,1234,1325,1329,1332,1361,1376
London,E09000015,Harrow,566,592,610,662,675,716,726,775,819,861,931,970,1051,1129,1158,1219,1253,1250,1285,1303
London,E09000016,Havering,613,633,647,689,722,752,762,826,854,904,974,1018,1094,1136,1163,1237,1262,1232,1277,1294
London,E09000017,Hillingdon,664,698,719,779,790,833,842,891,932,980,1057,1103,1196,1281,1326,1417,1475,1485,1541,1572
London,E09000018,Hounslow,616,649,670,728,735,767,767,813,861,909,990,1031,1118,1212,1239,1316,1324,1313,1343,1360
London,E09000021,Kingston upon Thames,410,431,443,465,471,493,505,538,567,603,645,662,705,746,776,835,854,842,854,861
London,E09000024,Merton,527,546,561,594,604,628,639,673,709,756,812,831,888,936,970,1034,1050,1023,1026,1024
London,E09000026,Redbridge,641,660,674,720,756,786,802,872,910,963,1037,1090,1176,1230,1269,1347,1370,1347,1364,1370
London,E09000027,Richmond upon Thames,498,519,540,586,593,620,628,664,698,727,774,793,847,906,911,962,968,962,979,990
London,E09000029,Sutton,513,533,544,570,573,598,611,645,677,718,769,789,843,890,925,990,1010,989,995,1001
